4.8185281659094165e-01 3.9805986278493166e-01 3.7789944097445959e+02
4.8138818226504221e-01 3.9852809990268695e-01 3.7741381864809114e+02
4.8063380622872492e-01 3.9928938449247287e-01 3.7662543605700102e+02
4.8013556366802385e-01 3.9979240843307950e-01 3.7610502057654230e+02
4.7959794593100702e-01 4.0033557893512711e-01 3.7554363294695281e+02
4.7908111206450638e-01 4.0085805429507626e-01 3.7500414451515758e+02
4.7857308588988673e-01 4.0137191158178614e-01 3.7447403977650265e+02
4.7806428827082836e-01 4.0188684793764667e-01 3.7394331670647750e+02
4.7755680995875271e-01 4.0240074545393545e-01 3.7341415737241300e+02
4.7704993041307092e-01 4.0291432763080920e-01 3.7288580906259494e+02
4.7654381186487182e-01 4.0342742570567741e-01 3.7235844028178610e+02
4.7603834733004785e-01 4.0394015026967800e-01 3.7183193878469683e+02
4.7553357310083227e-01 4.0445246758721842e-01 3.7130634182364940e+02
4.7502947034351617e-01 4.0496439495144360e-01 3.7078162932994928e+02
4.7452604203764542e-01 4.0547592514489428e-01 3.7025780391338344e+02
4.7402328373099484e-01 4.0598706102470533e-01 3.6973486029441989e+02
4.7352119577210033e-01 4.0649780308587791e-01 3.6921279808696545e+02
4.7301977720644112e-01 4.0700815268406781e-01 3.6869161553240474e+02
4.7251902635534476e-01 4.0751810986024833e-01 3.6817131020416582e+02
4.7201894102542141e-01 4.0802767439762605e-01 3.6765187931124336e+02
4.7151951955888954e-01 4.0853684665560214e-01 3.6713332067892748e+02
4.7102076111331603e-01 4.0904562772209679e-01 3.6661563288367790e+02
4.7052266488703903e-01 4.0955401861818053e-01 3.6609881443741710e+02
4.7002522925271595e-01 4.1006201949959215e-01 3.6558286297881716e+02
4.6952845223206330e-01 4.1056963022645415e-01 3.6506777585541749e+02
4.6903233254814791e-01 4.1107685138752831e-01 3.6455355116243771e+02
4.6853686956373936e-01 4.1158368417282803e-01 3.6404018760958309e+02
4.6804206205720433e-01 4.1209012913325394e-01 3.6352768326376236e+02
4.6754790775571370e-01 4.1259618575484258e-01 3.6301603512314108e+02
4.6705440452085106e-01 4.1310185372353542e-01 3.6250524039912131e+02
4.6656155122844356e-01 4.1360713384678155e-01 3.6199529744413707e+02
4.6606934727835314e-01 4.1411202751776932e-01 3.6148620520544705e+02
4.6557779153735024e-01 4.1461653555049555e-01 3.6097796204969529e+02
4.6508688212994376e-01 4.1512065788666247e-01 3.6047056547174884e+02
4.6459661724929402e-01 4.1562439440906224e-01 3.5996401291652325e+02
4.6410699559562629e-01 4.1612774544629855e-01 3.5945830228579132e+02
4.6361801602256486e-01 4.1663071155497933e-01 3.5895343171699290e+02
4.6312967705160157e-01 4.1713329316804376e-01 3.5844939922985930e+02
4.6264197718973255e-01 4.1763549079876761e-01 3.5794620293119090e+02
4.6215491536448955e-01 4.1813730525080056e-01 3.5744384122443216e+02
4.6166849085874795e-01 4.1863873747979008e-01 3.5694231266977550e+02
4.6118270269476341e-01 4.1913978802931046e-01 3.5644161542017423e+02
4.6069754931710177e-01 4.1964045688097007e-01 3.5594174707433831e+02
4.6021302894007710e-01 4.2014074398535139e-01 3.5544270520886488e+02
4.5972913997097348e-01 4.2064064968594744e-01 3.5494448780020741e+02
4.5924588111457204e-01 4.2114017464910919e-01 3.5444709315287957e+02
4.5876325110580118e-01 4.2163931950384598e-01 3.5395051953955175e+02
4.5828124859613217e-01 4.2213808472402359e-01 3.5345476508447848e+02
4.5779987223260005e-01 4.2263647072531391e-01 3.5295982786044056e+02
