9.9999916575177383e-01 6.7979940398521091e-07 9.9999860958682632e+01
9.9999893886806168e-01 8.6469559051544099e-07 9.9999823144753663e+01
9.9999859683252079e-01 1.1433942923378251e-06 9.9999766138102274e+01
9.9999821073194450e-01 1.4580171084403649e-06 9.9999701786683630e+01
9.9999788759788566e-01 1.7213667524896450e-06 9.9999647931079636e+01
9.9999770508741137e-01 1.8700373347654330e-06 9.9999617517917130e+01
9.9999766297294923e-01 1.9043315392150418e-06 9.9999610495943813e+01
9.9999785474833369e-01 1.8850645069598621e-06 9.9999614452481154e+01
9.9999787091286585e-01 1.8715502976659629e-06 9.9999617215817324e+01
9.9999625981311624e-01 1.8742562455977046e-06 9.9999616636178501e+01
9.9999222635177254e-01 1.8734830698384064e-06 9.9999616817833925e+01
9.9998639411867762e-01 1.8609233160755368e-06 9.9999619412020309e+01
9.9998029663493582e-01 1.8457789053382601e-06 9.9999622448727820e+01
9.9997551503815130e-01 1.8385098444407394e-06 9.9999623940555949e+01
9.9997295823325871e-01 1.8379831486208179e-06 9.9999624147329740e+01
9.9997254984538231e-01 1.8357001148260213e-06 9.9999624531773605e+01
9.9997318053613204e-01 1.8295663598112776e-06 9.9999625672149250e+01
9.9997414645394866e-01 1.8248909957334273e-06 9.9999626876820798e+01
9.9997513713619623e-01 1.8235382292114680e-06 9.9999627114448856e+01
9.9997615938404316e-01 1.8249297302036389e-06 9.9999626520787899e+01
9.9997720261586776e-01 1.8283283698227848e-06 9.9999626023729519e+01
9.9997824061578222e-01 1.8310101400138419e-06 9.9999625870972721e+01
9.9997924740015498e-01 1.8304136213918142e-06 9.9999625493049535e+01
9.9998021645372748e-01 1.8306960725609893e-06 9.9999625035297271e+01
9.9998115082060779e-01 1.8360220195683127e-06 9.9999624845281090e+01
9.9998203725740242e-01 1.8425258597971936e-06 9.9999623971274673e+01
9.9998285948442112e-01 1.8458015567309430e-06 9.9999621436635351e+01
9.9998362707011479e-01 1.8550365716700852e-06 9.9999619625562644e+01
9.9998435274670372e-01 1.8700201300741546e-06 9.9999619621523038e+01
9.9998502810289391e-01 1.8724713202585134e-06 9.9999617910900412e+01
