1.0000000000000657e+00 8.9999999999997771e-01 1.0000000000001898e+00
1.0000000000000639e+00 8.9999999999997804e-01 1.0000000000001841e+00
1.0000000000000602e+00 8.9999999999997871e-01 1.0000000000001734e+00
1.0000000000000602e+00 8.9999999999997848e-01 1.0000000000001688e+00
1.0000000000000699e+00 8.9999999999997737e-01 1.0000000000001918e+00
1.0000000000000722e+00 8.9999999999997682e-01 1.0000000000002029e+00
1.0000000000000642e+00 8.9999999999997760e-01 1.0000000000001876e+00
1.0000000000000639e+00 8.9999999999997715e-01 1.0000000000001839e+00
1.0000000000000724e+00 8.9999999999997637e-01 1.0000000000001958e+00
1.0000000000000830e+00 8.9999999999997560e-01 1.0000000000002069e+00
1.0000000000000886e+00 8.9999999999997493e-01 1.0000000000002196e+00
1.0000000000000779e+00 8.9999999999997449e-01 1.0000000000002196e+00
1.0000000000000620e+00 8.9999999999997526e-01 1.0000000000002052e+00
1.0000000000000597e+00 8.9999999999997593e-01 1.0000000000001981e+00
1.0000000000000671e+00 8.9999999999997549e-01 1.0000000000002058e+00
1.0000000000000624e+00 8.9999999999997671e-01 1.0000000000001861e+00
1.0000000000000708e+00 8.9999999999997549e-01 1.0000000000002141e+00
1.0000000000000593e+00 8.9999999999997737e-01 1.0000000000001852e+00
1.0000000000000480e+00 8.9999999999997893e-01 1.0000000000001597e+00
1.0000000000000429e+00 8.9999999999997959e-01 1.0000000000001548e+00
1.0000000000000471e+00 8.9999999999997815e-01 1.0000000000001714e+00
1.0000000000000471e+00 8.9999999999997804e-01 1.0000000000001663e+00
1.0000000000000409e+00 8.9999999999997893e-01 1.0000000000001612e+00
1.0000000000000393e+00 8.9999999999997937e-01 1.0000000000001592e+00
1.0000000000000444e+00 8.9999999999997937e-01 1.0000000000001643e+00
1.0000000000000444e+00 8.9999999999998026e-01 1.0000000000001594e+00
1.0000000000000375e+00 8.9999999999998170e-01 1.0000000000001403e+00
1.0000000000000322e+00 8.9999999999998137e-01 1.0000000000001377e+00
1.0000000000000333e+00 8.9999999999998137e-01 1.0000000000001426e+00
1.0000000000000480e+00 8.9999999999997982e-01 1.0000000000001923e+00
1.0000000000000393e+00 8.9999999999998104e-01 1.0000000000001479e+00
1.0000000000000295e+00 8.9999999999998148e-01 1.0000000000001392e+00
1.0000000000000235e+00 8.9999999999998259e-01 1.0000000000001386e+00
